Date,SP500_return
1959-02-28,-0.0007213871050850695
1959-03-31,0.0005413964876284094
1959-04-30,0.03878069226435943
1959-05-31,0.018926899630141936
1959-06-30,-0.003578716485693856
1959-07-31,0.03488963670669043
1959-08-31,-0.015038834451401306
1959-09-30,-0.04563754153763799
1959-10-31,0.01125174714539856
1959-11-30,0.013212766263645426
1959-12-31,0.027625268429543715
1960-01-31,-0.07146433165662447
1960-02-29,0.009170982124360405
1960-03-31,-0.013898766823634334
1960-04-30,-0.017528030683566342
1960-05-31,0.026853097808573256
1960-06-30,0.01952348741074794
1960-07-31,-0.02477160739230988
1960-08-31,0.02612143409806178
1960-09-30,-0.06039323528793261
1960-10-31,-0.0024290184417660177
1960-11-30,0.04026974246970605
1960-12-31,0.04627295017032895
1961-01-31,0.06315605111681144
1961-02-28,0.02686953512806456
1961-03-31,0.02553592318652309
1961-04-30,0.0038426069686652298
1961-05-31,0.019139489308333646
1961-06-30,-0.02884612739438741
1961-07-31,0.03279707250309061
1961-08-31,0.01962249126236637
1961-09-30,-0.019685564035524905
1961-10-31,0.02832308249018034
1961-11-30,0.03934708306867085
1961-12-31,0.003224948933227223
1962-01-31,-0.03787570367966053
1962-02-28,0.016269651455015577
1962-03-31,-0.005860435078333781
1962-04-30,-0.061969877769535886
1962-05-31,-0.08599014376684644
1962-06-30,-0.0818380174526715
1962-07-31,0.06356163547463622
1962-08-31,0.015284207395586336
1962-09-30,-0.048207011596950955
1962-10-31,0.004442864723053441
1962-11-30,0.10155693236518859
1962-12-31,0.013491811359355177
1963-01-31,0.049128344676465874
1963-02-28,-0.028851905147490475
1963-03-31,0.0354642828873597
1963-04-30,0.0485204051635999
1963-05-31,0.01432664693808805
1963-06-30,-0.020197743552784697
1963-07-31,-0.003459787857308272
1963-08-31,0.048748775936272803
1963-09-30,-0.011034524851831873
1963-10-31,0.03221764694991269
1963-11-30,-0.010539099537669627
1963-12-31,0.024443441268302557
1964-01-31,0.026926211181690807
1964-02-29,0.009865032803722196
1964-03-31,0.015167098443309435
1964-04-30,0.006077433617846628
1964-05-31,0.01145234926496741
1964-06-30,0.016424034462041215
1964-07-31,0.018239659924582208
1964-08-31,-0.016229844543978578
1964-09-30,0.028718054766427636
1964-10-31,0.008077931844982178
1964-11-30,-0.0051850393382224524
1964-12-31,0.003909048071693455
1965-01-31,0.033156313375737545
1965-02-28,-0.001484664881711284
1965-03-31,-0.014525867993062547
1965-04-30,0.034238588937520076
1965-05-31,-0.007743266038381047
1965-06-30,-0.048631480563336105
1965-07-31,0.013433157590617029
1965-08-31,0.02252197265625
1965-09-30,0.032006435403612254
1965-10-31,0.027345476984306227
1965-11-30,-0.008764310480866455
1965-12-31,0.008950984492533287
1966-01-31,0.004868516139310053
1966-02-28,-0.017872481500894488
1966-03-31,-0.021815367651166873
1966-04-30,0.02050873173611678
1966-05-31,-0.054140132191454415
1966-06-30,-0.01613838887697483
1966-07-31,-0.013452907934705549
1966-08-31,-0.0777511975913745
1966-09-30,-0.0070039030637412125
1966-10-31,0.04754440315730979
1966-11-30,0.0031172071011591473
1966-12-31,-0.0014915490582889657
1967-01-31,0.07817750076122998
1967-02-28,0.001962800689843114
1967-03-31,0.039409981759082724
1967-04-30,0.04223952679482368
1967-05-31,-0.05244123171097992
1967-06-30,0.017512320683966465
1967-07-31,0.045344225927046455
1967-08-31,-0.011715046019541542
1967-09-30,0.032785131512544696
1967-10-31,-0.03526001514834398
1967-11-30,0.00750264657391142
1967-12-31,0.026276608730884332
1968-01-31,-0.04384786258327322
1968-02-29,-0.031222867737610738
1968-03-31,0.009400138005295933
1968-04-30,0.08048783128447723
1968-05-31,0.012517968727310258
1968-06-30,0.009120404571296925
1968-07-31,-0.018477645445386437
1968-08-31,0.01145900113629117
1968-09-30,0.03853932364021051
1968-10-31,0.007207611827813265
1968-11-30,0.0479644029477011
1968-12-31,-0.04161670224164238
1969-01-31,-0.008184079232870456
1969-02-28,-0.04737408777410479
1969-03-31,0.034444155481669236
1969-04-30,0.021475719232574964
1969-05-31,-0.0022181825780509534
1969-06-30,-0.055577035094551475
1969-07-31,-0.060178050440206965
1969-08-31,0.040074052398976434
1969-09-30,-0.025023550792507288
1969-10-31,0.042955325193510197
1969-11-30,-0.03408160105416358
1969-12-31,-0.018654728126465958
1970-01-31,-0.07647187814714607
1970-02-28,0.05269352545074413
1970-03-31,0.0014524832784130748
1970-04-30,-0.09048310675968807
1970-05-31,-0.06096655785045735
1970-06-30,-0.05003268031831565
1970-07-31,0.07329485343211539
1970-08-31,0.04445859648471129
1970-09-30,0.03410214086322405
1970-10-31,-0.012455551764489758
1970-11-30,0.047447410789696054
1970-12-31,0.056766109528361586
1971-01-31,0.040477435331257805
1971-02-28,0.009073871208846063
1971-03-31,0.036795840398901714
1971-04-30,0.036287503521493125
1971-05-31,-0.04155843984271779
1971-06-30,-0.009334541110246564
1971-07-31,-0.03161089375538295
1971-08-31,0.03609538483102703
1971-09-30,-0.006967610319212669
1971-10-31,-0.041793706874213465
1971-11-30,-0.002547017771557858
1971-12-31,0.08617936650941682
1972-01-31,0.018121325985678283
1972-02-29,0.02530303243835852
1972-03-31,0.005911581638566643
1972-04-30,0.004384339870177945
1972-05-31,0.017275012928234856
1972-06-30,-0.021820500468225923
1972-07-31,0.0023333955705076015
1972-08-31,0.03445383154177417
1972-09-30,-0.004860863299431362
1972-10-31,0.009317039808806271
1972-11-30,0.045617460605507754
1972-12-31,0.011828275516162945
1973-01-31,-0.017111429226946195
1973-02-28,-0.03749029147535643
1973-03-31,-0.0014326975436259604
1973-04-30,-0.040799816708442904
1973-05-31,-0.018883838921280538
1973-06-30,-0.006574510072182238
1973-07-31,0.03798195859710751
1973-08-31,-0.036684542375921225
1973-09-30,0.040095926188736586
1973-10-31,-0.0012911499516223834
1973-11-30,-0.11386094493315979
1973-12-31,0.01656944541949712
1974-01-31,-0.010046164287802473
1974-02-28,-0.003624298179839891
1974-03-31,-0.023279960874575067
1974-04-30,-0.03905092218821549
1974-05-31,-0.03355108915079963
1974-06-30,-0.014665430765341547
1974-07-31,-0.07779072606286341
1974-08-31,-0.09027860614199468
1974-09-30,-0.11933472527042577
1974-10-31,0.1630469068473035
1974-11-30,-0.0531799759679239
1974-12-31,-0.02015154548392628
1975-01-31,0.12281222430242678
1975-02-28,0.059885590801832755
1975-03-31,0.021693888367524616
1975-04-30,0.047264904181358425
1975-05-31,0.04410078281255658
1975-06-30,0.04432255455728451
1975-07-31,-0.06765418926604572
1975-08-31,-0.021070453482614382
1975-09-30,-0.03464542589770303
1975-10-31,0.06164299510716309
1975-11-30,0.02470796187804769
1975-12-31,-0.011508060575922352
1976-01-31,0.11830577536437348
1976-02-29,-0.011401958347409313
1976-03-31,0.030688973891187965
1976-04-30,-0.010995400314574244
1976-05-31,-0.014364414534041692
1976-06-30,0.04092631724527229
1976-07-31,-0.008055200879589886
1976-08-31,-0.005123731310786583
1976-09-30,0.022641085596599275
1976-10-31,-0.022234857329811897
1976-11-30,-0.007774567929006437
1976-12-31,0.05249755818272761
1977-01-31,-0.05053043319782036
1977-02-28,-0.0216602872774031
1977-03-31,-0.014025260770978543
1977-04-30,0.0002032541438030666
1977-05-31,-0.02356765174000408
1977-06-30,0.04535997176203366
1977-07-31,-0.01622218181086499
1977-08-31,-0.021042001650604325
1977-09-30,-0.0024800854820193896
1977-10-31,-0.04340622080588785
1977-11-30,0.02696562261116653
1977-12-31,0.0028471647986194615
1978-01-31,-0.061514180525597095
1978-02-28,-0.02476189450389532
1978-03-31,0.0249310448773008
1978-04-30,0.08541646479972131
1978-05-31,0.004234183878568887
1978-06-30,-0.01758534679184498
1978-07-31,0.05390978322711981
1978-08-31,0.025923724696466754
1978-09-30,-0.0072611094331712644
1978-10-31,-0.09157401312473112
1978-11-30,0.016639778818819062
1978-12-31,0.014889162698495273
1979-01-31,0.03974612080496431
1979-02-28,-0.03652558305546061
1979-03-31,0.05515161638883992
1979-04-30,0.0016734501867132767
1979-05-31,-0.026336480433519993
1979-06-30,0.03865564957886636
1979-07-31,0.008745446161282588
1979-08-31,0.05307776000206954
1979-09-30,0.0
1979-10-31,-0.06860592774365959
1979-11-30,0.042624277944343536
1979-12-31,0.016767131856573192
1980-01-31,0.05762461626846416
1980-02-29,-0.004379817659080465
1980-03-31,-0.1017948878359558
1980-04-30,0.04114021675283275
1980-05-31,0.04657067368148904
1980-06-30,0.02696871680700652
1980-07-31,0.06503851929370663
1980-08-31,0.005835449125977554
1980-09-30,0.025167526558092623
1980-10-31,0.016021059707461927
1980-11-30,0.10237705284997123
1980-12-31,-0.033874250077558954
1981-01-31,-0.0457424256507718
1981-02-28,0.01327673624226744
1981-03-31,0.03603257083561595
1981-04-30,-0.023455900304457766
1981-05-31,-0.001656510991245752
1981-06-30,-0.010407946769277254
1981-07-31,-0.0022102624044086916
1981-08-31,-0.06209897164012057
1981-09-30,-0.053831749825450914
1981-10-31,0.049147865979290106
1981-11-30,0.036590361037046826
1981-12-31,-0.03007515210331868
1982-01-31,-0.017543871663315058
1982-02-28,-0.06054817959417069
1982-03-31,-0.01016710741467064
1982-04-30,0.04001432112868697
1982-05-31,-0.03916184380263066
1982-06-30,-0.020289566489036126
1982-07-31,-0.02299064189789768
1982-08-31,0.11597727353685028
1982-09-30,0.007614392238714407
