Date,Materials,Energy,Financials,Industrials,Technology,Consumer_Staples,Health_Care,Utilities,Consumer_Discretionary
2000-02-29,-0.08036094369978675,-0.022225933693191258,-0.08693782275336814,-0.03506401938343762,0.12517618334514147,-0.0969059049954808,-0.045278244577210525,-0.1014294797092462,-0.03560676313810962
2000-03-31,0.004173453014471695,0.027703525257616324,0.08590415506237958,0.04248684959887328,-0.012827349140589916,-0.05912664974684545,-0.006769801651126173,0.012517587498509952,0.044797310542314506
2000-04-30,-0.0024246527838190923,0.01587015473614073,0.040454599398671465,0.045241835288390875,-0.061051744511414374,0.08381465179305192,0.0190788905895819,0.09625428897331434,0.009973365098489229
2000-05-31,-0.009641497537948518,0.13933910990988352,0.04423651059961675,0.017695816963726685,-0.08206198471108694,0.09324353569449473,-0.004889292131726397,0.01972059272453952,-0.03206536273718974
2000-06-30,-0.1094452575626379,-0.07894948050232864,-0.07243508679373578,-0.06326513405507139,0.07562289683782697,0.03267939120789398,-0.02181490250258178,-0.05790167148147651,-0.07803511424634113
2000-07-31,0.02509231835997816,-0.021763779664613292,0.104498713062121,0.03181128614634321,-0.03671551994133371,-0.02019135971787489,0.0015420047125970227,0.031824087968925,0.03221413897397796
2000-08-31,-0.03782799023519434,0.048509012337345725,0.04087296530650586,0.038321327829289986,0.04100602433295353,-0.07291035762447051,-0.025291130498652725,-0.02173884324711306,-0.10216502778023151
2000-09-30,-0.044549631215951346,0.0699241091898748,0.07522304023062776,0.024441182251332405,-0.12617432456675726,0.09777929296823595,0.017213309573786417,0.18562630493200194,0.05470803040387939
2000-10-31,0.09265366033447409,-0.02223263973808509,-0.0036715978267394256,0.027443916017092285,-0.05232832436401247,0.07436828785559224,0.020003369566482077,0.06303343149566643,-0.0076057538562938065
2000-11-30,0.054771632361678035,0.027617766190897175,0.02898167125329154,0.04606854684291861,-0.1250775445352983,0.11457085568226777,-0.011033215764392978,0.07961034410111045,0.055274661267431635
2000-12-31,0.13683604437155417,0.09804182305015963,0.08127469464886428,0.03545280361834213,-0.10297466420549406,0.032322303501012506,0.012447479007955398,-0.017699140694780957,0.0664172415683566
2001-01-31,-0.061332485122363445,-0.06650120431862083,-0.03700963489625375,-0.03079643404091903,0.15658148035716146,-0.10754690854723281,0.037656881440507606,-0.09090797689432006,0.0816518676772815
2001-02-28,0.10524035725785807,0.08015265841352259,0.025012384032301105,0.032360791757057306,-0.1567709693414826,0.09833332778768067,0.07312550802848838,0.11304419855866688,0.020887178889410718
2001-03-31,0.014124120684253616,0.03437235600748767,0.03425243370905051,-0.03156519210258946,-0.050397812889400706,-0.005153144444576041,0.0001744510086587603,0.04986926714304396,0.04962271926310091
2001-04-30,0.02984589054396558,0.026442451142625112,-0.04064210741262397,0.03751401070852589,0.0848797333860083,-0.057396241527200464,-0.002988499052404947,-0.02855620585758878,-0.030436435634172865
2001-05-31,0.033371219722071466,-0.014538088210947597,0.038909351357408584,0.03675973138204136,-0.0460480068846254,0.00959233833713835,0.033103710539780895,0.0019221739872481436,0.01871912747611315
2001-06-30,-0.009477526090930444,-0.06609553391318279,0.017879271002209762,-0.03675276643903014,0.044579167860472224,-0.021217358999387814,0.013739099572316893,-0.025139683454744932,0.017160939310099876
2001-07-31,0.008020713725267914,-0.0007921601086208208,0.00123364855148278,0.008664629691919279,-0.05848223875437941,0.04118020438262249,-0.009226067040656538,0.0017508089061070153,0.05519257959681456
2001-08-31,0.060017573010960446,0.021774901907964828,-0.002013183556413889,0.029780560230930342,-0.05793592259277125,0.06889868115073783,0.013348879971230021,0.028475793152809903,-0.023435439353163057
