Strategy,Ann. Return,Sharpe,Max DD,Hit Ratio,Excess Return,TC Cost,Trades
Equal Weight All,0.09102929618926314,0.6190759442383879,-0.4912458884592428,0.6578947368421053,3.552108992118355,0.0,0
12M Momentum Top-3 (With Delay),0.026642167239171455,0.17643098578213126,-0.4900962230878219,0.5924657534246576,-4.796178386612316,1.915,383
12M Momentum Top-5 (No Delay),0.021315344596519736,0.1522870633858363,-0.5263261000094662,0.5657894736842105,-3.8307460833450104,1.8750000000000002,375
12M Momentum Top-3 (No Delay),0.014225572890731009,0.09586861368750021,-0.5446816683614454,0.5592105263157895,-4.106784253051787,1.975,395
6M Momentum Top-3 (With Delay),-0.007878938813445258,-0.05255037070869908,-0.4856292126323418,0.5335570469798657,-5.4229315003195335,2.585,517
6M Momentum Top-3 (No Delay),-0.024410391085819994,-0.16461189331257542,-0.5803000649327327,0.5131578947368421,-5.002334407053942,2.6449999999999996,529
3M Momentum Top-3 (No Delay),-0.04568633379071896,-0.29979415306098367,-0.7370889192059297,0.5164473684210527,-5.231173426906396,3.455,691
3M Momentum Top-3 (With Delay),-0.058784154320733695,-0.39987199251223643,-0.7829422235281958,0.4883720930232558,-5.834723815628811,3.425,685
