Sector,R² OOS,Hit Ratio,Sharpe Ratio,Max Drawdown,Cumulative Return,Volatility,Status
Technology,-0.003993646500975778,0.5031446540880503,-0.3334320643103477,0.6801934444887039,-0.5670836199339576,0.1525221030811789,Success
Materials,0.022459667356362845,0.4968553459119497,0.4819681130505104,0.2745149134044955,0.6848336554063819,0.08999992795849504,Success
Energy,-1.9418001722982066,0.4591194968553459,-0.417418936271395,0.6727070470634792,-0.5071735234654188,0.11222987664100528,Success
Financials,-1.0415387923141841,0.5283018867924528,0.6673072341863302,0.32814522346594766,1.5304925844074013,0.114519774702999,Success
Industrials,0.010126291113061514,0.5408805031446541,0.23533071997277016,0.2785358814241602,0.2831631729394519,0.10178783371833289,Success
Utilities,-0.009843160668570716,0.5471698113207547,0.42225088424612345,0.5759347774352244,0.9290740007016753,0.14040806723492588,Success
Consumer_Staples,0.04147549858798505,0.6415094339622641,0.6103570252692753,0.33851456261989865,1.700165427149369,0.13864707610629434,Success
Consumer_Discretionary,-0.9643994036500425,0.44654088050314467,0.1292236799887153,0.3584130606990261,0.09358323601101803,0.07174933518650745,Success
Health_Care,0.026476663911069065,0.5094339622641509,0.4774739064166236,0.4742826036847416,1.1267684318730278,0.13849962082905556,Success
Communication,0.005950441960381303,0.48427672955974843,0.07804464391416994,0.42121441543265925,0.04034117698901696,0.09794104303616788,Success
