name,hit_ratio,sharpe,n_preds,avg_pred
ElasticNet α=0.05,95.34412955465586,3.4389487603795628,495,1.6731586866728674
ElasticNet α=0.1,94.93927125506073,3.4816473178716416,495,1.6851550959663748
ElasticNet α=0.5,93.92712550607287,3.7812030868615096,495,1.7553574347951317
Lasso α=0.01,93.31983805668015,3.315340138893904,495,1.694665202786147
ElasticNet L1=0.8,92.91497975708502,3.2924094778853945,495,1.6977452815940886
ElasticNet α=0.001,92.71255060728745,3.3303787299438246,495,1.7614496511198734
ElasticNet α=0.01,92.51012145748987,3.276354931148027,495,1.7051349732556338
Ridge α=0.01,92.3076923076923,3.2637711350872913,495,1.9061801781942462
ElasticNet L1=0.2,91.90283400809717,3.2868416859023872,495,1.730085578381055
Linear (OLS),91.09311740890689,3.1644908782221197,495,2.065406905076465
